,App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver
6252,Battleheart Legacy,FAMILY,4.6,7420,7.4M,50000,Paid,4.99,Teen,Role Playing,"November 10, 2014",1.2.5,4.1 and up
8804,DraStic DS Emulator,GAME,4.6,87766,12M,1000000,Paid,4.99,Everyone,Action,"July 19, 2016",r2.5.0.3a,2.3 and up
1835,Farming Simulator 18,GAME,4.5,18125,15M,100000,Paid,4.99,Everyone,Simulation;Education,"July 9, 2018",Varies with device,4.4 and up
1834,The Escapists,GAME,4.4,7412,84M,100000,Paid,4.99,Teen,Strategy,"April 26, 2018",1.1.0,2.3 and up
1833,The Room: Old Sins,GAME,4.9,21119,48M,100000,Paid,4.99,Everyone,Puzzle,"April 18, 2018",1.0.1,4.4 and up
8787,Dr. Splorchy Presents Space Heroes,GAME,4.6,18,31M,100,Paid,4.99,Mature 17+,Adventure,"July 23, 2018",1.0,7.0 and up
5144,AH Alarm Panel,TOOLS,3.9,7,81k,100,Paid,4.99,Everyone,Tools,"May 12, 2011",1.2.0,1.5 and up
8792,Dr. McDougall Mobile Cookbook,HEALTH_AND_FITNESS,3.8,76,1.2M,1000,Paid,4.99,Everyone,Health & Fitness,"January 26, 2015",1.1,2.2 and up
8887,The Secret Daily Teachings,LIFESTYLE,4.3,206,32M,1000,Paid,4.99,Everyone,Lifestyle,"February 11, 2018",14.0,4.0.3 and up
5083,"AG Contacts, Premium edition",COMMUNICATION,4.5,88,3.7M,500,Paid,4.99,Everyone,Communication,"May 18, 2018",8.05.18.14250,4.0.3 and up
4556,Day R Premium,FAMILY,4.8,51068,57M,100000,Paid,4.99,Teen,Role Playing,"June 21, 2018",1.574,4.0.3 and up
6181,Shadow Fight 2 Special Edition,GAME,4.5,10440,86M,50000,Paid,4.99,Teen,Action,"May 30, 2018",1.0.3,4.1 and up
8845,PhotoFrame for Synology DS,PHOTOGRAPHY,4.0,1,2.6M,10,Paid,4.99,Everyone,Photography,"February 2, 2017",1.5,4.0 and up
1228,Paprika Recipe Manager,FOOD_AND_DRINK,4.1,1268,2.3M,50000,Paid,4.99,Everyone,Food & Drink,"June 3, 2018",1.4.4,4.0 and up
9154,NBA JAM by EA SPORTS™,FAMILY,4.3,56444,43M,500000,Paid,4.99,Everyone,Sports;Action & Adventure,"February 8, 2017",04.00.40,2.3 and up
7618,Adventure Time Game Wizard,GAME,4.1,4107,40M,50000,Paid,4.99,Everyone,Adventure,"July 16, 2015",1.2.0,4.1 and up
6202,LEGO ® Batman: Beyond Gotham,FAMILY,4.1,10758,8.0M,100000,Paid,4.99,Everyone 10+,Adventure;Action & Adventure,"December 15, 2015",Varies with device,4.0.3 and up
8724,DRAGON QUEST II,FAMILY,4.5,2576,44M,10000,Paid,4.99,Everyone,Role Playing,"March 9, 2018",1.0.5,4.0 and up
